threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.4,22,DMM,0.98,0.006894566115818203,,0.048256880733944955
0.4,22,ISF,1.0,0.06946048464966376,,0.066
0.4,23,DBL,0.98,0.006720877731242356,,0.05045871559633028
0.4,23,DMM,0.98,0.004716242025710263,,0.05247706422018348
0.4,23,ISF,0.98,0.08720796868420144,,0.08194174757281555
0.4,24,DBL,1.0,0.019776663623990807,,0.05169811320754717
0.4,24,DMM,1.0,0.01564438154351191,,0.05018867924528302
0.4,24,ISF,0.98,0.07202287077471924,,0.07150943396226414
0.4,25,DBL,1.0,0.011736635829492756,,0.05303571428571429
0.4,25,DMM,1.0,0.008591968458553591,,0.051071428571428566
0.4,25,ISF,1.0,0.07336490165223579,,0.06298245614035088
0.4,26,DBL,0.98,0.006892144543241543,,0.04654545454545455
0.4,26,DMM,0.98,0.008777572787008315,,0.050545454545454546
0.4,26,ISF,1.0,0.06528541488170127,,0.06293103448275864
0.4,27,DBL,1.0,0.0018359413594408844,,0.04760330578512398
0.4,27,DMM,1.0,0.0020212627912993813,,0.04694214876033058
0.4,27,ISF,1.0,0.07589864389818202,,0.07724770642201836
0.4,28,DBL,0.98,0.0031860636071722815,,0.05060869565217391
0.4,28,DMM,0.98,0.002279304384934644,,0.051826086956521744
0.4,28,ISF,1.0,0.07167463948970283,,0.068
0.4,29,DBL,1.0,0.0062084725444100574,,0.05009174311926605
0.4,29,DMM,1.0,0.0075208980279003424,,0.05192660550458715
0.4,29,ISF,1.0,0.09260149269365585,,0.08520833333333334
0.5,0,DBL,0.96,0.005515549215177854,,0.04293103448275862
0.5,0,DMM,0.96,0.005264603732384554,,0.04293103448275862
0.5,0,ISF,0.96,0.07704793505677304,,0.07313725490196078
0.5,1,DBL,0.86,0.018791495248191424,,0.05225806451612904
0.5,1,DMM,0.88,0.018333868502600034,,0.0583157894736842
0.5,1,ISF,0.92,0.08840084125289216,,0.08319148936170213
0.5,2,DBL,0.98,0.010007535726598649,,0.0606779661016949
0.5,2,DMM,0.98,0.010382776668620568,,0.054017094017094
0.5,2,ISF,0.88,0.0778300422809505,,0.07042553191489362
0.5,3,DBL,0.9,0.015125118557415954,,0.05564356435643564
0.5,3,DMM,0.88,0.01748888010368596,,0.0556701030927835
0.5,3,ISF,0.92,0.06963183637105931,,0.06833333333333332
0.5,4,DBL,0.9,0.011131084743112083,,0.051304347826086956
0.5,4,DMM,0.88,0.009495560137017673,,0.05066666666666667
0.5,4,ISF,0.88,0.0866707547143833,,0.0903448275862069
0.5,5,DBL,0.9,0.01330733615938249,,0.05272727272727273
0.5,5,DMM,0.92,0.011726466007420368,,0.048349514563106794
0.5,5,ISF,0.96,0.0810655784111854,,0.0725233644859813
0.5,6,DBL,0.9,0.007049855608419278,,0.05346153846153847
0.5,6,DMM,0.9,0.006270343155855225,,0.04788461538461539
0.5,6,ISF,0.86,0.06776059241018113,,0.06778947368421052
0.5,7,DBL,0.92,0.00748300812737516,,0.0574
0.5,7,DMM,0.9,0.007293737257500332,,0.05375
0.5,7,ISF,0.92,0.07804728785012846,,0.07734693877551019
0.5,8,DBL,0.96,0.014857048107185864,,0.05113207547169811
0.5,8,DMM,0.94,0.01606310388616639,,0.04912621359223301
0.5,8,ISF,0.8,0.08159705151618864,,0.07617977528089889
0.5,9,DBL,0.9,0.025351512697420264,,0.04774193548387096
