code,scenario,seed,dimension,spearman_rank_correlation,accepted
P6,D5_equal,9003,D5,0.5883793517406962,False
P6,D5_equal,9004,D5,0.5070348139255703,False
P6,D5_equal,9005,D5,0.6060504201680672,False
P6,D5_equal,9006,D5,0.8226170468187275,False
P6,D5_equal,9007,D5,0.6377430972388957,False
P6,D5_equal,9008,D5,0.5343097238895558,False
P6,D5_equal,9009,D5,0.7879471788715485,False
P6,D5_equal,9010,D5,0.6631932773109244,False
P6,D5_equal,9011,D5,0.7402160864345738,False
P6,D5_equal,9012,D5,0.7292677070828331,False
P6,D5_equal,9013,D5,0.6350540216086434,False
P6,D5_equal,9014,D5,0.6647298919567827,False
P6,D5_equal,9015,D5,0.6387995198079232,False
P6,D5_equal,9016,D5,0.6104681872749098,False
P6,D5_equal,9017,D5,0.5347899159663866,False
P6,D5_equal,9018,D5,0.6522448979591836,False
P6,D5_equal,9019,D5,0.7038175270108042,False
P6,D5_equal,9020,D5,0.5847298919567826,False
P6,D5_equal,9021,D5,0.61968787515006,False
P6,D5_equal,9022,D5,0.5689795918367346,False
P6,D5_equal,9023,D5,0.6508043217286914,False
P6,D5_equal,9024,D5,0.6617527010804322,False
P6,D5_equal,9025,D5,0.6512845138055222,False
P6,D5_equal,9026,D5,0.5559183673469387,False
P6,D5_equal,9027,D5,0.5722448979591837,False
P6,D5_equal,9028,D5,0.5180792316926771,False
P6,D5_equal,9029,D5,0.4992557022809123,False
P6,D5_reconciliation_heavy,9000,D5,0.5053061224489795,False
P6,D5_reconciliation_heavy,9001,D5,0.49579831932773105,False
P6,D5_reconciliation_heavy,9002,D5,0.20816326530612245,False
P6,D5_reconciliation_heavy,9003,D5,0.733109243697479,False
P6,D5_reconciliation_heavy,9004,D5,0.46823529411764697,False
P6,D5_reconciliation_heavy,9005,D5,0.5214405762304922,False
P6,D5_reconciliation_heavy,9006,D5,0.45882352941176463,False
P6,D5_reconciliation_heavy,9007,D5,0.5760864345738295,False
P6,D5_reconciliation_heavy,9008,D5,0.3496278511404562,False
P6,D5_reconciliation_heavy,9009,D5,0.6595438175270109,False
P6,D5_reconciliation_heavy,9010,D5,0.5516926770708284,False
P6,D5_reconciliation_heavy,9011,D5,0.6751020408163264,False
P6,D5_reconciliation_heavy,9012,D5,0.6209363745498199,False
P6,D5_reconciliation_heavy,9013,D5,0.6006722689075631,False
P6,D5_reconciliation_heavy,9014,D5,0.4404801920768307,False
P6,D5_reconciliation_heavy,9015,D5,0.45258103241296516,False
P6,D5_reconciliation_heavy,9016,D5,0.493781512605042,False
P6,D5_reconciliation_heavy,9017,D5,0.43231692677070827,False
P6,D5_reconciliation_heavy,9018,D5,0.566578631452581,False
P6,D5_reconciliation_heavy,9019,D5,0.1296998799519808,False
P6,D5_reconciliation_heavy,9020,D5,0.2751020408163265,False
P6,D5_reconciliation_heavy,9021,D5,0.5914525810324129,False
P6,D5_reconciliation_heavy,9022,D5,0.7356062424969987,False
P6,D5_reconciliation_heavy,9023,D5,0.3637454981992797,False
P6,D5_reconciliation_heavy,9024,D5,0.5780072028811525,False
P6,D5_reconciliation_heavy,9025,D5,0.6206482593037216,False
P6,D5_reconciliation_heavy,9026,D5,0.5215366146458583,False
P6,D5_reconciliation_heavy,9027,D5,0.3301320528211284,False
P6,D5_reconciliation_heavy,9028,D5,0.16052821128451378,False
P6,D5_reconciliation_heavy,9029,D5,0.6533973589435774,False
P6,D5_api_heavy,9000,D5,0.596734693877551,False
P6,D5_api_heavy,9001,D5,0.7872749099639856,False
P6,D5_api_heavy,9002,D5,0.5241296518607442,False
P6,D5_api_heavy,9003,D5,0.6438895558223289,False
P6,D5_api_heavy,9004,D5,0.6469627851140455,False
P6,D5_api_heavy,9005,D5,0.688547418967587,False
P6,D5_api_heavy,9006,D5,0.39649459783913565,False
P6,D5_api_heavy,9007,D5,0.7770948379351741,False
P6,D5_api_heavy,9008,D5,0.8246338535414165,False
P6,D5_api_heavy,9009,D5,0.6848979591836735,False
P6,D5_api_heavy,9010,D5,0.740408163265306,False
P6,D5_api_heavy,9011,D5,0.4790876350540216,False
P6,D5_api_heavy,9012,D5,0.6514765906362544,False
P6,D5_api_heavy,9013,D5,0.6539735894357742,False
P6,D5_api_heavy,9014,D5,0.46775510204081633,False
P6,D5_api_heavy,9015,D5,0.6071068427370948,False
P6,D5_api_heavy,9016,D5,0.6613685474189676,False
P6,D5_api_heavy,9017,D5,0.5276830732292916,False
P6,D5_api_heavy,9018,D5,0.7703721488595437,False
P6,D5_api_heavy,9019,D5,0.5385354141656662,False
P6,D5_api_heavy,9020,D5,0.6811524609843937,False
P6,D5_api_heavy,9021,D5,0.6259303721488595,False
P6,D5_api_heavy,9022,D5,0.43932773109243695,False
P6,D5_api_heavy,9023,D5,0.5195198079231693,False
P6,D5_api_heavy,9024,D5,0.7792076830732292,False
P6,D5_api_heavy,9025,D5,0.5677310924369748,False
