code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P9,original_draft_stress_test,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,original_draft_stress_test,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,private_sector_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,private_sector_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,private_sector_heavy,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,public_sector_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,public_sector_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,public_sector_heavy,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,state_enterprise_heavy,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,state_enterprise_heavy,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P9,state_enterprise_heavy,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
